date,open,high,low,close,volume
2018-04-27,129.5437,129.7953,129.0705,129.169,116951
2018-04-30,129.4155,129.9874,128.9719,129.1395,171024
2018-05-01,128.8535,129.1592,128.3211,129.1296,127091
2018-05-02,129.1592,129.1592,128.2714,128.3507,127114
2018-05-03,128.1042,128.6958,127.2859,128.2817,109468
2018-05-04,128.0746,129.4747,127.7197,129.4747,109775
2018-05-07,129.5536,130.086,129.3071,129.662,114309
2018-05-08,128.7944,129.1395,128.6169,129.0606,133776
2018-05-09,133.241,134.3749,133.0635,134.3749,364961
2018-05-10,136.4059,136.7313,136.2087,136.4453,198373
2018-05-11,136.0411,136.2186,135.6664,136.1298,140581
2018-05-14,136.1003,136.5045,136.0608,136.1989,98897
2018-05-15,134.5227,134.5425,134.0199,134.3058,148728
2018-05-16,135.0059,135.7256,134.927,135.42,101052
2018-05-17,135.0749,135.134,134.5425,134.7495,73148
2018-05-18,134.5819,134.5819,133.7636,134.1284,168583
2018-05-21,134.572,134.6509,134.1185,134.5326,81805
2018-05-22,134.5819,134.5819,133.7537,133.8326,120388
2018-05-23,132.7086,132.9945,131.9505,132.9354,106323
2018-05-24,130.5395,130.9487,129.9406,130.579,261853
2018-05-25,127.9761,128.3901,127.7887,128.1338,204884
2018-05-29,125.6394,126.0288,124.5844,124.9196,276554
2018-05-30,124.8605,125.876,124.8112,125.4422,287662
2018-05-31,126.0337,126.3443,125.3041,126.1718,370015
2018-06-01,129.4451,130.017,129.0803,129.4648,225841
2018-06-04,133.3495,133.3889,132.2945,132.3931,180484
2018-06-05,131.7522,131.8705,131.486,131.5846,94665
2018-06-06,134.1185,134.2664,133.4776,134.2565,141482
2018-06-07,134.8382,135.489,134.503,134.5326,233522
2018-06-08,134.4734,134.4882,133.8819,134.296,107101
2018-06-11,134.5622,135.627,134.5523,135.2228,95275
2018-06-12,132.8072,133.0833,132.5016,132.6593,225032
2018-06-13,133.9312,134.0229,133.3889,133.5072,112378
2018-06-14,133.4974,133.8819,133.4185,133.5368,76791
2018-06-15,134.3256,134.4636,133.3142,133.9016,150434
2018-06-18,133.7143,134.6312,133.6847,134.6016,135413
2018-06-19,133.8917,134.2713,133.6206,134.2368,158307
2018-06-20,133.3002,133.3991,132.3734,132.4818,117601
2018-06-21,131.7128,131.7128,130.3325,130.7959,155609
2018-06-22,130.0367,130.0761,128.8831,129.1592,209561
2018-06-25,128.0253,128.1535,126.4303,126.7633,205675
2018-06-26,127.4535,127.9465,126.8176,127.3943,167389
2018-06-27,126.8324,126.8324,125.314,125.3238,323697
2018-06-28,126.3394,127.5718,126.2605,127.276,173439
2018-06-29,127.5718,128.0746,126.9704,127.0,176675
2018-07-02,125.7281,126.2605,125.2154,126.1323,101536
2018-07-03,126.5267,126.5464,125.4619,125.6098,96487
2018-07-05,126.576,127.4831,126.576,127.2563,120832
2018-07-06,127.6112,128.1141,127.276,127.7394,84301
2018-07-09,128.4,128.9719,128.4,128.8634,69534
2018-07-10,127.3648,127.6211,127.1972,127.4535,120131
2018-07-11,126.8718,126.9309,125.9844,126.2605,75290
2018-07-12,127.2464,127.5324,127.0098,127.3648,79706
2018-07-13,127.3056,127.8479,127.2662,127.6901,75667
2018-07-16,127.8873,127.8873,127.5817,127.6901,100569
2018-07-17,128.9521,130.0761,128.8634,129.6029,135783
2018-07-18,130.7466,131.0818,130.1156,130.2339,182259
2018-07-19,129.8691,130.1649,129.6078,129.9184,107760
2018-07-20,130.2437,130.4113,129.8789,129.9479,130225
2018-07-23,129.593,129.9677,129.4057,129.8789,127234
2018-07-24,130.9043,131.3086,130.3522,130.717,118232
2018-07-25,129.731,130.4902,127.9859,130.3522,270748
2018-07-26,131.3184,131.7143,131.1212,131.4564,135709
2018-07-27,132.5016,132.8664,132.0776,132.5706,171086
2018-07-30,132.9354,133.665,132.9058,133.0833,149911
2018-07-31,130.1254,130.4311,129.8099,129.9874,198733
2018-08-01,130.6381,131.3086,129.3564,129.7803,131807
2018-08-02,128.7155,129.2578,128.119,129.2085,119322
2018-08-03,128.5676,129.7902,127.9465,129.455,157661
2018-08-06,126.6549,126.8816,126.2704,126.645,198161
2018-08-07,126.9507,127.3253,126.6647,126.714,270874
2018-08-08,125.9549,125.9549,125.2647,125.3041,208425
2018-08-09,124.7224,124.7224,123.6576,123.6872,191135
2018-08-10,123.2928,123.2928,122.3857,122.4843,233021
2018-08-13,122.3167,122.5731,121.7449,121.7646,229251
2018-08-14,122.1787,122.1787,121.5181,121.7153,131021
2018-08-15,120.8378,120.8378,119.7138,120.1378,191464
2018-08-16,120.2857,121.3899,120.2068,121.035,132916
2018-08-17,120.9068,121.8139,120.7195,121.5477,135206
2018-08-20,121.035,121.8237,121.035,121.5378,126365
2018-08-21,121.2223,121.2223,120.7786,120.8476,182808
2018-08-22,122.7702,123.0069,121.8435,122.0012,262899
2018-08-23,121.5082,121.5082,120.3448,120.542,184348
2018-08-24,121.2913,121.3998,120.7491,121.1139,93160
2018-08-27,123.8449,125.2253,123.4604,124.6928,370556
2018-08-28,124.9591,125.3041,124.2393,124.2985,169185
2018-08-29,125.0675,125.9746,124.9591,125.6887,249050
2018-08-30,123.8942,124.3182,123.0759,123.4998,165252
2018-08-31,122.8491,123.0365,122.0604,122.3364,152579
2018-09-04,120.4533,120.6998,119.9406,120.2955,244584
2018-09-05,118.8166,119.5561,118.6194,118.7772,290806
2018-09-06,118.8067,118.8067,117.6433,118.5011,136563
2018-09-07,117.8799,118.087,117.3475,117.6236,190615
2018-09-10,117.8701,117.9785,117.4757,117.5053,104521
2018-09-11,118.3828,118.4025,117.8405,118.2349,172229
2018-09-12,118.1166,118.6293,117.9588,118.225,110475
2018-09-13,120.0392,120.6899,119.8913,120.2462,149928
2018-09-14,120.9857,121.104,120.3448,120.5617,131596
2018-09-17,120.9462,121.2913,120.6899,120.7589,147347
2018-09-18,122.6322,123.5393,122.5238,123.2731,266924
2018-09-19,123.2238,123.8844,123.2238,123.559,130939
2018-09-20,123.6576,124.121,122.9379,123.1942,136019
2018-09-21,122.8984,123.1942,122.5632,122.9674,113991
2018-09-24,122.5928,122.9083,121.9815,122.2576,117922
2018-09-25,123.559,123.84,123.0167,123.1252,169888
2018-09-26,123.1942,123.5393,122.5632,123.3815,271073
2018-09-27,124.8,125.35,124.3811,124.61,151173
2018-09-28,124.51,124.99,124.18,124.35,167299
2018-10-01,124.6,125.04,124.41,124.82,147213
2018-10-02,125.53,126.02,125.44,125.71,177092
2018-10-03,122.97,123.34,122.42,122.7,192003
2018-10-04,122.7,122.97,121.54,122.18,139511
2018-10-05,122.86,122.863,121.37,121.5,272502
2018-10-08,121.59,121.88,120.375,121.72,180043
2018-10-09,119.7,120.18,119.18,119.92,182723
2018-10-10,119.72,119.9,117.78,117.78,454449
2018-10-11,117.79,118.49,115.77,116.75,292358
2018-10-12,117.3,117.44,115.83,116.76,318537
2018-10-15,115.36,116.01,114.95,115.63,326972
2018-10-16,117.21,118.24,116.93,118.04,275606
2018-10-17,118.01,118.06,116.94,117.73,224510
2018-10-18,117.91,118.39,116.52,116.67,229970
2018-10-19,116.82,117.39,116.03,116.32,193385
2018-10-22,118.74,118.75,116.395,117.1,238702
2018-10-23,115.78,118.57,115.57,117.97,311619
2018-10-24,116.68,116.72,114.4,114.57,432001
2018-10-25,115.55,117.29,115.18,116.66,334690
2018-10-26,116.0,118.19,115.736,117.3,207725
2018-10-29,115.8,118.015,114.14,115.31,431680
2018-10-30,115.2,116.4,115.0,116.24,313105
2018-10-31,117.22,117.72,116.87,117.05,238398
2018-11-01,116.9,117.81,116.3,117.7,275470
2018-11-02,117.0,117.34,114.55,115.46,397532
2018-11-05,115.09,115.96,115.09,115.41,241931
2018-11-06,117.27,117.87,116.74,117.58,252238
2018-11-07,118.21,119.48,118.06,119.31,256923
2018-11-08,117.81,118.16,116.92,117.29,274434
2018-11-09,117.35,117.55,116.7,117.24,133941
2018-11-12,117.21,117.3,115.39,115.57,297014
2018-11-13,115.5,116.11,114.8,115.11,250109
2018-11-14,116.96,117.65,116.38,116.88,247027
2018-11-15,116.34,117.3,115.92,117.0,184764
2018-11-16,115.82,117.2499,115.8,116.96,120379
2018-11-19,118.34,118.4616,116.86,117.14,228651
2018-11-20,117.94,118.3,116.97,117.29,284881
2018-11-21,119.22,120.09,118.93,119.25,228661
2018-11-23,119.52,119.96,119.32,119.71,133962
2018-11-26,120.55,121.31,120.54,121.27,149392
2018-11-27,121.88,122.1477,120.67,121.0,323933
2018-11-28,120.61,121.58,119.59,121.58,281103
2018-11-29,121.52,122.32,121.38,121.78,125616
2018-11-30,120.8,121.58,120.8,121.48,194687
2018-12-03,123.26,123.82,123.12,123.51,260964
2018-12-04,122.27,122.85,120.32,120.88,273451
2018-12-06,120.27,121.84,119.4107,121.83,354646
2018-12-07,121.65,122.03,119.4,119.97,206128
2018-12-10,121.05,121.27,119.56,120.94,344190
2018-12-11,120.68,121.15,119.94,120.41,322042
2018-12-12,122.35,122.9,121.85,121.89,145409
2018-12-13,121.54,121.54,120.37,120.78,217424
2018-12-14,120.33,121.02,119.9,120.1,131956
2018-12-17,120.0,120.51,119.12,119.55,189132
2018-12-18,120.88,121.27,119.84,120.01,181736
2018-12-19,120.51,122.0,118.87,119.38,208234
2018-12-20,119.0,119.53,117.38,118.45,176915
2018-12-21,115.62,116.21,113.9,113.96,379658
2018-12-24,113.45,113.57,111.57,111.81,335829
2018-12-26,112.54,113.89,111.1218,113.72,390580
2018-12-27,113.41,115.48,113.12,115.48,230419
2018-12-28,115.96,117.25,115.78,116.34,179331
2018-12-31,116.44,116.77,115.39,116.08,184709
2019-01-02,114.68,116.53,114.68,116.28,169884
2019-01-03,115.85,116.28,114.29,114.65,309478
2019-01-04,117.94,120.17,117.5057,119.73,307513
2019-01-07,120.71,122.18,120.32,121.28,156119
2019-01-08,123.16,123.48,121.96,122.31,150370
2019-01-09,122.85,123.3,122.39,122.92,139796
2019-01-10,123.71,124.5807,123.27,124.49,202934
2019-01-11,125.01,125.5232,124.88,125.07,135469
2019-01-14,124.54,126.095,124.485,125.39,156550
2019-01-15,126.15,126.64,125.46,126.28,172301
2019-01-16,126.06,126.37,125.6,125.66,171356
2019-01-17,124.49,125.29,124.021,124.92,138665
2019-01-18,124.89,125.79,124.865,125.35,158552
2019-01-22,124.0,124.35,123.06,123.6,159764
2019-01-23,123.07,123.2763,121.91,122.47,130566
2019-01-24,122.64,123.07,122.31,122.83,90350
2019-01-25,123.74,123.99,123.46,123.72,79975
2019-01-28,122.26,122.57,121.86,122.48,132042
2019-01-29,122.48,122.83,122.19,122.27,85276
2019-01-30,122.1,123.485,121.69,123.04,132261
2019-01-31,122.7,123.38,122.33,123.17,108478
2019-02-01,122.43,122.65,121.65,122.0,152709
2019-02-04,122.44,122.94,121.94,122.9,103991
2019-02-05,123.52,123.72,123.21,123.47,120363
2019-02-06,121.72,122.01,120.58,121.05,271171
2019-02-07,119.24,119.41,117.38,118.11,310712
2019-02-08,117.28,117.32,116.4,117.31,206081
2019-02-11,117.89,117.89,117.0,117.15,167459
2019-02-12,119.04,119.83,119.04,119.78,207651
2019-02-13,119.96,120.06,119.36,119.63,111349
2019-02-14,119.08,119.495,118.63,119.25,235595
2019-02-15,120.35,121.23,120.21,121.15,164940
2019-02-19,120.52,121.77,120.52,121.49,104107
2019-02-20,122.31,123.36,122.29,122.79,173044
2019-02-21,121.74,121.98,121.09,121.24,173063
2019-02-22,121.94,122.02,121.45,121.82,105041
2019-02-25,122.71,122.95,122.4,122.41,119383
2019-02-26,122.75,123.65,122.75,123.23,102371
2019-02-27,122.7,122.76,122.085,122.32,132925
2019-02-28,121.3,121.44,120.54,121.04,124808
2019-03-01,120.4,120.6,119.63,120.34,211503
2019-03-04,119.02,119.03,117.96,118.42,240308
2019-03-05,118.5,118.5,117.92,118.26,149829
2019-03-06,118.11,118.305,117.88,117.98,153030
2019-03-07,118.24,118.2574,116.81,117.24,138546
2019-03-08,116.81,117.73,116.81,117.71,100235
2019-03-11,118.5,119.36,118.5,119.13,134749
2019-03-12,119.18,119.2,118.58,118.76,78991
2019-03-13,118.65,119.66,118.56,119.31,61473
2019-03-14,117.9,118.11,117.4512,117.7,139769
2019-03-15,119.0,119.2,118.75,118.97,150908
2019-03-18,118.94,119.6,118.811,119.51,106331
2019-03-19,119.94,120.49,119.64,119.73,85653
2019-03-20,120.32,120.425,118.96,119.67,140493
2019-03-21,119.62,120.49,119.26,120.44,127196
2019-03-22,121.11,121.16,119.83,120.22,179437
2019-03-25,119.89,120.68,119.42,120.49,136369
2019-03-26,122.01,122.2799,121.52,121.77,138308
2019-03-27,121.12,121.36,120.53,121.03,143345
2019-03-28,119.36,119.51,118.75,119.07,155467
2019-03-29,118.25,118.31,117.84,118.02,250727
